name,path,plugin_id,status
ab-test-setup,${HOME}/.codex/skills/ab-test-setup/SKILL.md,,Retained by approved policy; discovery visibility varies
auth-implementation-patterns,${HOME}/.codex/skills/auth-implementation-patterns/SKILL.md,,Retained by approved policy; discovery visibility varies
avoid-ai-writing,${HOME}/.codex/skills/avoid-ai-writing/SKILL.md,,Retained by approved policy; discovery visibility varies
backend-architect,${HOME}/.codex/skills/backend-architect/SKILL.md,,Retained by approved policy; discovery visibility varies
book-to-canon,${HOME}/.codex/skills/book-to-canon/SKILL.md,,Retained by approved policy; discovery visibility varies
brand-blueprint-builder,${HOME}/.claude/skills/brand-blueprint-builder/SKILL.md,,Retained by approved policy; discovery visibility varies
brand-brain,${HOME}/.codex/skills/brand-brain/SKILL.md,,Retained by approved policy; discovery visibility varies
brand-ssot-precedence,${HOME}/.claude/skills/brand-ssot-precedence/SKILL.md,,Retained by approved policy; discovery visibility varies
business-analyst,${HOME}/.codex/skills/business-analyst/SKILL.md,,Retained by approved policy; discovery visibility varies
business-strategy-curated:business-model-designer,${HOME}/.codex/plugins/cache/personal-curated/business-strategy-curated/0.1.0/skills/business-model-designer/SKILL.md,business-strategy-curated@personal-curated,Retained by approved policy; discovery visibility varies
canon-pricing-economics,${HOME}/.codex/skills/canon-pricing-economics/SKILL.md,,Retained by approved policy; discovery visibility varies
canva:canva-brand-check,${HOME}/.codex/plugins/cache/openai-curated-remote/canva/15.0.0/skills/canva-brand-check/SKILL.md,canva@openai-curated-remote,Retained by approved policy; discovery visibility varies
canva:canva-branded-presentation,${HOME}/.codex/plugins/cache/openai-curated-remote/canva/15.0.0/skills/canva-branded-presentation/SKILL.md,canva@openai-curated-remote,Retained by approved policy; discovery visibility varies
canva:canva-bulk-create,${HOME}/.codex/plugins/cache/openai-curated-remote/canva/15.0.0/skills/canva-bulk-create/SKILL.md,canva@openai-curated-remote,Retained by approved policy; discovery visibility varies
canva:canva-design-feedback,${HOME}/.codex/plugins/cache/openai-curated-remote/canva/15.0.0/skills/canva-design-feedback/SKILL.md,canva@openai-curated-remote,Retained by approved policy; discovery visibility varies
